"id"	"name"	"numberlinks"	"school"	"major"	"subject_code"	"instructors"	"updated_at"	"category"	"lang"	"unit"	"year"	"quarter"	"day_time"	"area"	"classroom"	"target_students_from"
21532895	"学術英語・プロダクション２"	"[\"KED-LCB1156W\"]"	"KED"	"LCB"	"1156W"	"[\"江口　巧\"]"	"2021-11-20T08:47:30.851Z"	"言語文化基礎科目"	"英語及び日本語を併用（E/J）"	1	2021	"冬学期"	"[[\"火曜日\",\"４時限\"]]"	"伊都地区"		
21532896	"学術英語・プロダクション１"	"[\"KED-LCB1155W\"]"	"KED"	"LCB"	"1155W"	"[\"ﾊﾟｰｳｪﾙｽ　ﾙｰﾍﾞﾝ\"]"	"2021-08-31T05:24:34.781Z"	"言語文化基礎科目"	"英語及び日本語を併用（E/J）"	1	2021	"秋学期"	"[[\"火曜日\",\"４時限\"]]"	"伊都地区"		
21532897	"学術英語・プロダクション２"	"[\"KED-LCB1156W\"]"	"KED"	"LCB"	"1156W"	"[\"ﾊﾟｰｳｪﾙｽ　ﾙｰﾍﾞﾝ\"]"	"2021-08-31T06:35:26.492Z"	"言語文化基礎科目"	"英語及び日本語を併用（E/J）"	1	2021	"冬学期"	"[[\"火曜日\",\"４時限\"]]"	"伊都地区"		
21532898	"学術英語・プロダクション１"	"[\"KED-LCB1155W\"]"	"KED"	"LCB"	"1155W"	"[\"アームストロング，Ｍ\"]"	"2021-08-23T05:43:22.744Z"	"言語文化基礎科目"	"英語及び日本語を併用（E/J）"	1	2021	"秋学期"	"[[\"火曜日\",\"４時限\"]]"	"伊都地区"		
21532899	"学術英語・プロダクション２"	"[\"KED-LCB1156W\"]"	"KED"	"LCB"	"1156W"	"[\"アームストロング，Ｍ\"]"	"2021-08-23T06:27:46.479Z"	"言語文化基礎科目"	"英語及び日本語を併用（E/J）"	1	2021	"冬学期"	"[[\"火曜日\",\"４時限\"]]"	"伊都地区"		
21532909	"心理学入門"	"[\"KED-HSS1311J\"]"	"KED"	"HSS"	"1311J"	"[\"實藤　和佳子\"]"	"2021-08-31T06:30:13.563Z"	"文系ディシプリン科目"	"日本語（J）"	2	2021	"後期"	"[[\"火曜日\",\"５時限\"]]"	"伊都地区"		
21532946	"中国語実践Ⅰ"	"[\"KED-LCB1421J\"]"	"KED"	"LCB"	"1421J"	"[\"葛　欣燕\"]"	"2021-09-30T06:47:17.497Z"	"言語文化基礎科目"	"日本語（J）"	1	2021	"後期"	"[[\"火曜日\",\"５時限\"]]"	"伊都地区"		
21533002	"心理学入門"	"[\"KED-HSS1311J\"]"	"KED"	"HSS"	"1311J"	"[\"金子　周平\"]"	"2021-05-15T00:31:22.456Z"	"文系ディシプリン科目"	"日本語（J）"	2	2021	"前期"	"[[\"水曜日\",\"１時限\"]]"	"伊都地区"		
21533008	"教育基礎学入門"	"[\"KED-HSS1351J\"]"	"KED"	"HSS"	"1351J"	"[\"山田　政寛\"]"	"2021-05-31T05:45:15.100Z"	"文系ディシプリン科目"	"日本語（J）"	1	2021	"前期"	"[[\"水曜日\",\"１時限\"]]"	"伊都地区"		
21533009	"現代教育学入門"	"[\"KED-HSS1341J\"]"	"KED"	"HSS"	"1341J"	"[\"山田　政寛\"]"	"2021-05-31T05:44:34.473Z"	"文系ディシプリン科目"	"日本語（J）"	1	2021	"前期"	"[[\"水曜日\",\"１時限\"]]"	"伊都地区"		
